Year,Month,City,Address,Prov,Country,Identifier,Area,UoM,Tenure,Latitude,Agent,Longitude
2019,JUL,100 Mile House,170 Cedar Ave. S.,BC,CA,B0067295,1182.02,SQ-M,Leased,51.6459,Ramasundar,-121.2937639
2019,JUL,100 Mile House,300 Cariboo Hwy,BC,CA,N0092260,0.36,HA,Owned,,Ramasundar,
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,B0076976,1467.89,SQ-M,Owned,51.64450833,Ramasundar,-121.2976639
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,B0076984,23.4,SQ-M,Owned,51.64422222,Ramasundar,-121.2990278
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,B0081810,215.5,SQ-M,Owned,51.64413889,Ramasundar,-121.2973917
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,B0081828,156,SQ-M,Owned,51.64412222,Ramasundar,-121.2977139
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,B0081844,78.4,SQ-M,Owned,51.64412222,Ramasundar,-121.2980389
2019,JUL,100 Mile House,300 Cariboo Hwy.,BC,CA,N0001476,1.02,HA,Owned,,Ramasundar,
2019,JUL,100 Mile House,475 Birch Ave. S.,BC,CA,B0092607,117.05,SQ-M,Leased,51.640625,Ramasundar,-121.295936
2019,JUL,Abbotsford,1767 Angus Campbell Rd.,BC,CA,B0078612,6694.77,SQ-M,Owned,49.034475,Ramasundar,-122.2464556
2019,JUL,Abbotsford,"1767 Angus Campbell Rd.,",BC,CA,N0001855,1.9879,HA,Owned,,Ramasundar,
2019,JUL,Abbotsford,2684 Trinity Ave. ,BC,CA,B0067932,708.6,SQ-M,Leased,49.050681,Ramasundar,-122.291003
2019,JUL,Abbotsford,2777 Gladwin Rd.,BC,CA,B0092630,770.91,SQ-M,Leased,49.052602,Ramasundar,-122.314885
2019,JUL,Abbotsford,2828 Cruickshank St.,BC,CA,B0091424,1802.04,SQ-M,Leased,49.05397222,Ramasundar,-122.3236944
2019,JUL,Abbotsford,2845 Cruickshank St.,BC,CA,B0091882,1021.06,SQ-M,Leased,49.054764,Ramasundar,-122.324113
2019,JUL,Abbotsford,2865 Cruickshank St.,BC,CA,B0067760,650.3,SQ-M,Leased,49.05345,Ramasundar,-122.324177
2019,JUL,Abbotsford,32203 S. Fraser Way,BC,CA,B0055376,2560.04,SQ-M,Leased,49.05227778,Ramasundar,-122.3305
2019,JUL,Abbotsford,32375 Veterans Way,BC,CA,N2000570,1.2,HA,Leased,,Ramasundar,
2019,JUL,Abbotsford,32463 Simon Ave.,BC,CA,B0092419,208.1,SQ-M,Leased,49.053239,Ramasundar,-122.326699
2019,JUL,Abbotsford,32525 Simon Ave.,BC,CA,B1002354,278.43,SQ-M,Leased,49.0534343,Ramasundar,-122.3233252
2019,JUL,Abbotsford,32555 Simon Ave.,BC,CA,B0067740,555.05,SQ-M,Leased,49.053337,Ramasundar,-122.323042
2019,JUL,Abbotsford,32900 Marshall Rd,BC,CA,B1002713,99.51,SQ-M,Leased,,Ramasundar,
2019,JUL,Agassiz,2895 Chowat Rd.,BC,CA,B1002720,23.23,SQ-M,Leased,,Ramasundar,
2019,JUL,Agassiz,7086 Pioneer Ave.,BC,CA,B0092042,64.37,SQ-M,Leased,49.238848,Ramasundar,-121.763948
2019,JUL,Alexis Creek,2582 Stum Lake Rd.,BC,CA,B0078033,304.72,SQ-M,Owned,52.08336389,Ramasundar,-123.2727667
2019,JUL,Alexis Creek,2582 Stum Lake Rd.,BC,CA,B0082123,1995.49,SQ-M,Owned,52.08305833,Ramasundar,-123.2734917
2019,JUL,Alexis Creek,2582 Stum Lake Rd.,BC,CA,B0082131,138.6,SQ-M,Owned,52.08306389,Ramasundar,-123.2728417
2019,JUL,Alexis Creek,2582 Stum Lake Rd.,BC,CA,B0082156,75.79,SQ-M,Owned,52.08267778,Ramasundar,-123.2722639
2019,JUL,Alexis Creek,Forest Place,BC,CA,N0092574,0.4087,HA,Owned,,Ramasundar,
2019,JUL,Allison Pass,7413 Southern Trans Prov Hwy.,BC,CA,N0001151,17,HA,Leased,,Ramasundar,
